date_made_public,city,state,type_of_breach,type_of_organization,total_records,information_source,year_of_breach,latitude,longitude,city_n,state_n,cluster
2006-03-03,Princeton,NJ,HACK,BSF,88.0,California Attorney General,2006,40.058324,-74.405661,1112,36,1
2012-01-04,San Francisco,CA,PORT,BSF,0.0,California Attorney General,2012,37.77493,-122.419416,1205,5,38
2012-02-18,San Diego,CA,PORT,BSR,0.0,California Attorney General,2012,32.715329,-117.157255,1203,5,22
2012-02-22,Austin,TX,HACK,BSF,0.0,California Attorney General,2012,30.267153000000004,-97.743061,64,52,38
2012-03-12,San Diego,CA,PORT,MED,14000.0,California Attorney General,2012,32.715329,-117.157255,1203,5,3
2012-03-14,San Diego,CA,DISC,BSF,0.0,California Attorney General,2012,32.715329,-117.157255,1203,5,38
2012-03-19,Oakland,CA,DISC,MED,30000.0,California Attorney General,2012,37.804364,-122.27111399999998,985,5,4
2012-03-19,Dallas,TX,DISC,BSF,0.0,California Attorney General,2012,32.802955,-96.76992299999999,313,52,38
2012-03-23,New York,NY,HACK,BSR,0.0,California Attorney General,2012,40.714353,-74.005973,941,39,24
2012-03-31,Stockton,CA,PHYS,MED,712.0,California Attorney General,2012,37.957702000000005,-121.29078,1335,5,2
2012-03-31,Sacramento,CA,DISC,BSO,0.0,California Attorney General,2012,38.581571999999994,-121.4944,1181,5,7
2012-03-31,San Francisco,CA,UNKN,GOV,0.0,California Attorney General,2012,37.77493,-122.419416,1205,5,35
2012-03-31,New York,NY,UNKN,BSR,0.0,California Attorney General,2012,40.714353,-74.005973,941,39,24
2012-04-03,Bloomington,IL,INSD,BSF,0.0,California Attorney General,2012,40.484203,-88.993687,130,18,8
2012-04-05,San Francisco,CA,INSD,BSF,0.0,California Attorney General,2012,37.77493,-122.419416,1205,5,8
2012-04-09,Chicago,IL,HACK,BSR,1000.0,California Attorney General,2012,41.878114000000004,-87.629798,243,18,24
2012-04-11,Grand Rapids,MI,HACK,BSR,0.0,California Attorney General,2012,42.963359999999994,-85.668086,500,28,24
2012-04-12,Riverside,CA,PORT,MED,0.0,California Attorney General,2012,33.953348999999996,-117.396156,1158,5,38
2012-04-19,Bloomfield,CT,INSD,MED,0.0,California Attorney General,2012,41.844167,-72.741389,129,7,8
2012-04-20,Palm Springs,CA,PORT,NGO,4400.0,California Attorney General,2012,33.830296000000004,-116.54529199999999,1037,5,20
2012-04-20,Princeton,NJ,HACK,BSF,0.0,California Attorney General,2012,40.357298,-74.66722299999999,1112,36,38
2012-04-25,Plano,TX,STAT,BSR,0.0,California Attorney General,2012,33.019843,-96.698886,1084,52,19
2012-04-26,Silver Spring,MD,DISC,BSO,0.0,California Attorney General,2012,38.990666,-77.026088,1269,26,7
